 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 17:10:4, 2/4/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error                    Lower 
           1         175           1           1   639.63099886849488        6.7320193973290516     
           2         440           3           3   145.21074117691072        3.1271357651066167     
           3        1659           2           3   8.6139491866564502       0.14076924730073798     
           4        5943           4           5  0.12792091892180760        4.0910334516594139E-003
           5        5343           3           5   9.8852561457159080E-002   4.1652503360422823E-004
           6        6209           4           7   3.5308088171203345E-002   3.1063420858247557E-004
           7        4795           2           7   2.0276900672564685E-002   1.5604027689248314E-003
           8        5306           3           9   1.1671521710886441E-002   1.5775448627861871E-003
           9        6149           2           9   3.9032598797899918E-003   1.2699057775842452E-006
          10        6952           2          11   1.6079023408954000E-003   2.2045082394761055E-006
          11        8395           1          11   6.0358635425102362E-004   1.4031860108002560E-006
          12        9406           3          11   2.4275466124626364E-004   2.0358999432619108E-006
          13       10123           2          11   9.5242180853314374E-005   2.2760196009503962E-006
          14       11553           3          11   1.6306147204073034E-005   2.3743643631962614E-006
          15       11840           2          11   3.1415169310467146E-005   2.4514395402966905E-006
          16       13355           3          11   1.2070101367358692E-005   2.4252489915417229E-006
          17       13657           2          11   5.1418304730599771E-006   2.4291116110414822E-006
          18       15185           3          11   2.3419405268007843E-006   2.4346662375823529E-006
          19       16433           2          11   1.2556239381004432E-006   2.4377235428618425E-006
          20       17916           3          11   8.3533920088816897E-007   2.4384299805025541E-006
